 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1495  1.3500  1.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      1.30563702E-04  1.03112966E+01  5.05010469E+00  3.66300211E+00  1.35000000E+00  1.43740000E-10  7.11660288E-01  6.50736600E+55  6.50736600E+55  1.66182213E+07  0.00000000E+00  1.20769918E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.73229010E+51  0.00000000E+00  0.00000000E+00  5.56710640E-01  3.51668150E+00  1.82989779E-11
   1       2      1.32399680E-04  1.02518159E+01  5.03345626E+00  3.66309103E+00  1.35000000E+00  1.43740000E-10  7.11660266E-01  6.46537478E+55  6.46537478E+55  1.64579236E+07  0.00000000E+00  1.21592333E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.70175322E+51  0.00000000E+00  0.00000000E+00  5.57314641E-01  3.52863508E+00  1.81934203E-11
   1       3      1.33811971E-04  1.02067623E+01  5.02085168E+00  3.66315729E+00  1.35000000E+00  1.43740000E-10  7.11660248E-01  6.43367376E+55  6.43367376E+55  1.63934088E+07  0.00000000E+00  1.22221587E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.67869959E+51  0.00000000E+00  0.00000000E+00  5.57773681E-01  3.53775385E+00  1.81134657E-11
   1       4      1.34898349E-04  1.01726162E+01  5.01127744E+00  3.66320793E+00  1.35000000E+00  1.43740000E-10  7.11660234E-01  6.40964413E+55  6.40964413E+55  1.63434726E+07  0.00000000E+00  1.22702217E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.66122475E+51  0.00000000E+00  0.00000000E+00  5.58123373E-01  3.54470304E+00  1.80528683E-11
   1       5      1.35811435E-04  1.01442667E+01  5.00331355E+00  3.66325029E+00  1.35000000E+00  1.43740000E-10  7.11660222E-01  6.38968863E+55  6.38968863E+55  1.63012851E+07  0.00000000E+00  1.23103715E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.64671270E+51  0.00000000E+00  0.00000000E+00  5.58414917E-01  3.55049767E+00  1.80025578E-11
   1       6      1.36721965E-04  1.01163319E+01  4.99545201E+00  3.66329236E+00  1.35000000E+00  1.43740000E-10  7.11660210E-01  6.37001949E+55  6.37001949E+55  1.62591078E+07  0.00000000E+00  1.23501553E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.63240890E+51  0.00000000E+00  0.00000000E+00  5.58703313E-01  3.55623017E+00  1.79529831E-11
   1       7      1.37631985E-04  1.00887419E+01  4.98767511E+00  3.66333416E+00  1.35000000E+00  1.43740000E-10  7.11660197E-01  6.35059002E+55  6.35059002E+55  1.62168223E+07  0.00000000E+00  1.23896643E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.61827939E+51  0.00000000E+00  0.00000000E+00  5.58989191E-01  3.56191394E+00  1.79040204E-11
   1       8      1.38541946E-04  1.00614803E+01  4.97997761E+00  3.66337576E+00  1.35000000E+00  1.43740000E-10  7.11660184E-01  6.33138723E+55  6.33138723E+55  1.61744584E+07  0.00000000E+00  1.24289171E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.60431472E+51  0.00000000E+00  0.00000000E+00  5.59272727E-01  3.56755188E+00  1.78556405E-11
   1       9      1.39452105E-04  1.00345359E+01  4.97235658E+00  3.66341717E+00  1.35000000E+00  1.43740000E-10  7.11660171E-01  6.31240298E+55  6.31240298E+55  1.61319873E+07  0.00000000E+00  1.24679232E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.59050899E+51  0.00000000E+00  0.00000000E+00  5.59554014E-01  3.57314559E+00  1.78078235E-11
   1      10      1.40362718E-04  1.00078961E+01  4.96481018E+00  3.66345836E+00  1.35000000E+00  1.43740000E-10  7.11660158E-01  6.29363091E+55  6.29363091E+55  1.60894426E+07  0.00000000E+00  1.25066950E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.57685755E+51  0.00000000E+00  0.00000000E+00  5.59833105E-01  3.57869703E+00  1.77605472E-11
   1      11      1.41274197E-04  9.98154698E+00  4.95733386E+00  3.66349936E+00  1.35000000E+00  1.43740000E-10  7.11660144E-01  6.27505983E+55  6.27505983E+55  1.60467903E+07  0.00000000E+00  1.25452483E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.56335228E+51  0.00000000E+00  0.00000000E+00  5.60110154E-01  3.58420864E+00  1.77137866E-11
   1      12      1.42186769E-04  9.95548135E+00  4.94992540E+00  3.66354022E+00  1.35000000E+00  1.43740000E-10  7.11660130E-01  6.25668328E+55  6.25668328E+55  1.60040575E+07  0.00000000E+00  1.25835886E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.54998848E+51  0.00000000E+00  0.00000000E+00  5.60385229E-01  3.58968142E+00  1.76675291E-11
   1      13      1.43100696E-04  9.92968515E+00  4.94258275E+00  3.66358088E+00  1.35000000E+00  1.43740000E-10  7.11660116E-01  6.23849544E+55  6.23849544E+55  1.59612258E+07  0.00000000E+00  1.26217313E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.53676191E+51  0.00000000E+00  0.00000000E+00  5.60658396E-01  3.59511773E+00  1.76217498E-11
   1      14      1.44016387E-04  9.90414833E+00  4.93530215E+00  3.66362140E+00  1.35000000E+00  1.43740000E-10  7.11660102E-01  6.22048642E+55  6.22048642E+55  1.59183095E+07  0.00000000E+00  1.26596871E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.52366538E+51  0.00000000E+00  0.00000000E+00  5.60929780E-01  3.60051925E+00  1.75764308E-11
   1      15      1.44934055E-04  9.87886374E+00  4.92808160E+00  3.66366179E+00  1.35000000E+00  1.43740000E-10  7.11660087E-01  6.20265074E+55  6.20265074E+55  1.58752970E+07  0.00000000E+00  1.26974622E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.51069491E+51  0.00000000E+00  0.00000000E+00  5.61199445E-01  3.60588704E+00  1.75315594E-11
   1      16      1.45853967E-04  9.85382085E+00  4.92091935E+00  3.66370203E+00  1.35000000E+00  1.43740000E-10  7.11660072E-01  6.18498324E+55  6.18498324E+55  1.58322099E+07  0.00000000E+00  1.27350681E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.49784674E+51  0.00000000E+00  0.00000000E+00  5.61467446E-01  3.61122283E+00  1.74871170E-11
   1      17      1.46776506E-04  9.82900957E+00  4.91381223E+00  3.66374215E+00  1.35000000E+00  1.43740000E-10  7.11660056E-01  6.16747558E+55  6.16747558E+55  1.57890205E+07  0.00000000E+00  1.27725161E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.48511481E+51  0.00000000E+00  0.00000000E+00  5.61733890E-01  3.61652842E+00  1.74430856E-11
   1      18      1.47701914E-04  9.80442327E+00  4.90675825E+00  3.66378217E+00  1.35000000E+00  1.43740000E-10  7.11660040E-01  6.15012232E+55  6.15012232E+55  1.57457580E+07  0.00000000E+00  1.28098127E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.47249516E+51  0.00000000E+00  0.00000000E+00  5.61998843E-01  3.62180482E+00  1.73994534E-11
   1      19      1.48630440E-04  9.78005234E+00  4.89975601E+00  3.66382205E+00  1.35000000E+00  1.43740000E-10  7.11660024E-01  6.13291948E+55  6.13291948E+55  1.57023911E+07  0.00000000E+00  1.28469682E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.45998490E+51  0.00000000E+00  0.00000000E+00  5.62262347E-01  3.62705363E+00  1.73562034E-11
   1      20      1.49562474E-04  9.75588946E+00  4.89280237E+00  3.66386187E+00  1.35000000E+00  1.43740000E-10  7.11660008E-01  6.11585894E+55  6.11585894E+55  1.56589558E+07  0.00000000E+00  1.28839912E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.44757813E+51  0.00000000E+00  0.00000000E+00  5.62524512E-01  3.63227618E+00  1.73133227E-11
   1      21      1.50498219E-04  9.73192683E+00  4.88589646E+00  3.66390156E+00  1.35000000E+00  1.43740000E-10  7.11659991E-01  6.09893799E+55  6.09893799E+55  1.56154221E+07  0.00000000E+00  1.29208897E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.43527287E+51  0.00000000E+00  0.00000000E+00  5.62785362E-01  3.63747370E+00  1.72707973E-11
   1      22      1.51438075E-04  9.70815731E+00  4.87903542E+00  3.66394120E+00  1.35000000E+00  1.43740000E-10  7.11659974E-01  6.08214926E+55  6.08214926E+55  1.55718230E+07  0.00000000E+00  1.29576722E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.42306376E+51  0.00000000E+00  0.00000000E+00  5.63044996E-01  3.64264751E+00  1.72286147E-11
   1      23      1.52382315E-04  9.68457563E+00  4.87221756E+00  3.66398080E+00  1.35000000E+00  1.43740000E-10  7.11659956E-01  6.06548812E+55  6.06548812E+55  1.55281204E+07  0.00000000E+00  1.29943440E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.41094743E+51  0.00000000E+00  0.00000000E+00  5.63303471E-01  3.64779843E+00  1.71867654E-11
   1      24      1.53331184E-04  9.66117200E+00  4.86544190E+00  3.66402029E+00  1.35000000E+00  1.43740000E-10  7.11659938E-01  6.04895179E+55  6.04895179E+55  1.54843522E+07  0.00000000E+00  1.30309167E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.39892188E+51  0.00000000E+00  0.00000000E+00  5.63560817E-01  3.65292821E+00  1.71452320E-11
   1      25      1.54285132E-04  9.63793955E+00  4.85870516E+00  3.66405976E+00  1.35000000E+00  1.43740000E-10  7.11659920E-01  6.03253221E+55  6.03253221E+55  1.54405016E+07  0.00000000E+00  1.30673989E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.38698122E+51  0.00000000E+00  0.00000000E+00  5.63817151E-01  3.65803812E+00  1.71040025E-11
   1      26      1.55244347E-04  9.61487156E+00  4.85200727E+00  3.66409913E+00  1.35000000E+00  1.43740000E-10  7.11659901E-01  6.01622831E+55  6.01622831E+55  1.53965648E+07  0.00000000E+00  1.31037983E+04  1.35000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  4.37512469E+51  0.00000000E+00  0.00000000E+00  5.64072470E-01  3.66312933E+00  1.70630648E-11
