 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1189  0.8000  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      1.98438096E-04  3.71017231E+00  3.48677401E+00  3.63246060E+00  8.00000000E-01  1.43740000E-10  7.11660296E-01  1.82787460E+55  1.82787460E+55  1.56612746E+07  0.00000000E+00  2.05791333E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.66158490E+50  0.00000000E+00  1.66158490E+50  8.93863110E-01  4.89138100E+00  7.47543092E-12
   1       2      2.00901055E-04  3.68623183E+00  3.47521113E+00  3.63247905E+00  8.00000000E-01  1.43740000E-10  7.11660285E-01  1.81607001E+55  1.81607001E+55  1.55312693E+07  0.00000000E+00  2.07111136E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.65085423E+50  0.00000000E+00  1.65085423E+50  8.94488715E-01  4.90704089E+00  7.42719451E-12
   1       3      2.02795639E-04  3.66812396E+00  3.46643857E+00  3.63249323E+00  8.00000000E-01  1.43740000E-10  7.11660276E-01  1.80713810E+55  1.80713810E+55  1.54891243E+07  0.00000000E+00  2.08119005E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.64273489E+50  0.00000000E+00  1.64273489E+50  8.94963521E-01  4.91896602E+00  7.39070992E-12
   1       4      2.04315850E-04  3.65378850E+00  3.45948014E+00  3.63250441E+00  8.00000000E-01  1.43740000E-10  7.11660269E-01  1.80006823E+55  1.80006823E+55  1.54548152E+07  0.00000000E+00  2.08922825E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.63630820E+50  0.00000000E+00  1.63630820E+50  8.95340238E-01  4.92845615E+00  7.36182614E-12
   1       5      2.05815107E-04  3.63983153E+00  3.45269227E+00  3.63251537E+00  8.00000000E-01  1.43740000E-10  7.11660262E-01  1.79318430E+55  1.79318430E+55  1.54205589E+07  0.00000000E+00  2.09710521E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.63005053E+50  0.00000000E+00  1.63005053E+50  8.95707802E-01  4.93773823E+00  7.33370499E-12
   1       6      2.07299415E-04  3.62618998E+00  3.44604414E+00  3.63252620E+00  8.00000000E-01  1.43740000E-10  7.11660254E-01  1.78645427E+55  1.78645427E+55  1.53862307E+07  0.00000000E+00  2.10485324E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.62393276E+50  0.00000000E+00  1.62393276E+50  8.96067875E-01  4.94685137E+00  7.30621934E-12
   1       7      2.08770013E-04  3.61284242E+00  3.43952798E+00  3.63253682E+00  8.00000000E-01  1.43740000E-10  7.11660247E-01  1.77986944E+55  1.77986944E+55  1.53518626E+07  0.00000000E+00  2.11248162E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.61794698E+50  0.00000000E+00  1.61794698E+50  8.96420868E-01  4.95580743E+00  7.27932606E-12
   1       8      2.10228273E-04  3.59977148E+00  3.43313484E+00  3.63254729E+00  8.00000000E-01  1.43740000E-10  7.11660239E-01  1.77342016E+55  1.77342016E+55  1.53174093E+07  0.00000000E+00  2.11999780E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.61208442E+50  0.00000000E+00  1.61208442E+50  8.96767260E-01  4.96461594E+00  7.25299010E-12
   1       9      2.11675105E-04  3.58694807E+00  3.42685871E+00  3.63255716E+00  8.00000000E-01  1.43740000E-10  7.11660231E-01  1.76709956E+55  1.76709956E+55  1.52829040E+07  0.00000000E+00  2.12741560E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.60633883E+50  0.00000000E+00  1.60633883E+50  8.97107371E-01  4.97329387E+00  7.22715288E-12
   1      10      2.13111772E-04  3.57436850E+00  3.42069172E+00  3.63256685E+00  8.00000000E-01  1.43740000E-10  7.11660223E-01  1.76089929E+55  1.76089929E+55  1.52483263E+07  0.00000000E+00  2.13473549E+04  8.00000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  1.60070263E+50  0.00000000E+00  1.60070263E+50  8.97441622E-01  4.98184243E+00  7.20180697E-12
