 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1072  0.7000  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      2.22529200E-04  2.74575006E+00  3.14884469E+00  3.62191361E+00  7.00000000E-01  1.43740000E-10  7.11660297E-01  1.30316678E+55  1.30316678E+55  1.54398077E+07  0.00000000E+00  2.44191144E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.18461203E+50  0.00000000E+00  0.00000000E+00  9.04415468E-01  5.32822931E+00  5.53226728E-12
   1       2      2.25309393E-04  2.72762021E+00  3.13857151E+00  3.62190395E+00  7.00000000E-01  1.43740000E-10  7.11660286E-01  1.29489724E+55  1.29489724E+55  1.53133085E+07  0.00000000E+00  2.45687686E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.17709481E+50  0.00000000E+00  0.00000000E+00  9.04998539E-01  5.34453158E+00  5.49573840E-12
   1       3      2.27448003E-04  2.71390972E+00  3.13077749E+00  3.62189673E+00  7.00000000E-01  1.43740000E-10  7.11660278E-01  1.28863982E+55  1.28863982E+55  1.52728074E+07  0.00000000E+00  2.46829703E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.17140665E+50  0.00000000E+00  0.00000000E+00  9.05440885E-01  5.35693852E+00  5.46811387E-12
   1       4      2.29172725E-04  2.70300359E+00  3.12456437E+00  3.62189090E+00  7.00000000E-01  1.43740000E-10  7.11660271E-01  1.28366198E+55  1.28366198E+55  1.52396568E+07  0.00000000E+00  2.47744807E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.16688167E+50  0.00000000E+00  0.00000000E+00  9.05793492E-01  5.36685958E+00  5.44613967E-12
   1       5      2.30874041E-04  2.69238638E+00  3.11850258E+00  3.62188528E+00  7.00000000E-01  1.43740000E-10  7.11660264E-01  1.27881418E+55  1.27881418E+55  1.52065238E+07  0.00000000E+00  2.48641175E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.16247489E+50  0.00000000E+00  0.00000000E+00  9.06137495E-01  5.37655976E+00  5.42474762E-12
   1       6      2.32558470E-04  2.68200764E+00  3.11256610E+00  3.62187970E+00  7.00000000E-01  1.43740000E-10  7.11660256E-01  1.27407501E+55  1.27407501E+55  1.51733287E+07  0.00000000E+00  2.49522958E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.15816687E+50  0.00000000E+00  0.00000000E+00  9.06474367E-01  5.38608505E+00  5.40383604E-12
   1       7      2.34227704E-04  2.67185219E+00  3.10674636E+00  3.62187419E+00  7.00000000E-01  1.43740000E-10  7.11660249E-01  1.26943713E+55  1.26943713E+55  1.51400679E+07  0.00000000E+00  2.50391049E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.15395091E+50  0.00000000E+00  0.00000000E+00  9.06804593E-01  5.39544602E+00  5.38337435E-12
   1       8      2.35882993E-04  2.66190753E+00  3.10103677E+00  3.62186877E+00  7.00000000E-01  1.43740000E-10  7.11660242E-01  1.26489482E+55  1.26489482E+55  1.51067090E+07  0.00000000E+00  2.51246222E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.14982184E+50  0.00000000E+00  0.00000000E+00  9.07128547E-01  5.40465184E+00  5.36333738E-12
   1       9      2.37525555E-04  2.65216400E+00  3.09543102E+00  3.62186351E+00  7.00000000E-01  1.43740000E-10  7.11660234E-01  1.26044261E+55  1.26044261E+55  1.50732781E+07  0.00000000E+00  2.52088881E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.14577467E+50  0.00000000E+00  0.00000000E+00  9.07446584E-01  5.41370762E+00  5.34370565E-12
   1      10      2.39156343E-04  2.64260991E+00  3.08992413E+00  3.62185834E+00  7.00000000E-01  1.43740000E-10  7.11660226E-01  1.25607615E+55  1.25607615E+55  1.50397579E+07  0.00000000E+00  2.52919917E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.14180544E+50  0.00000000E+00  0.00000000E+00  9.07758985E-01  5.42262369E+00  5.32445564E-12
   1      11      2.40776557E-04  2.63323496E+00  3.08451015E+00  3.62185329E+00  7.00000000E-01  1.43740000E-10  7.11660218E-01  1.25179037E+55  1.25179037E+55  1.50061399E+07  0.00000000E+00  2.53739944E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.13790956E+50  0.00000000E+00  0.00000000E+00  9.08066088E-01  5.43140731E+00  5.30556653E-12
   1      12      2.42387017E-04  2.62402979E+00  3.07918475E+00  3.62184830E+00  7.00000000E-01  1.43740000E-10  7.11660210E-01  1.24758150E+55  1.24758150E+55  1.49724438E+07  0.00000000E+00  2.54549618E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.13408359E+50  0.00000000E+00  0.00000000E+00  9.08368137E-01  5.44006611E+00  5.28701953E-12
   1      13      2.43988685E-04  2.61498605E+00  3.07394319E+00  3.62184341E+00  7.00000000E-01  1.43740000E-10  7.11660202E-01  1.24344547E+55  1.24344547E+55  1.49386397E+07  0.00000000E+00  2.55349440E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.13032383E+50  0.00000000E+00  0.00000000E+00  9.08665400E-01  5.44860604E+00  5.26879776E-12
   1      14      2.45582343E-04  2.60609508E+00  3.06878186E+00  3.62183854E+00  7.00000000E-01  1.43740000E-10  7.11660194E-01  1.23937909E+55  1.23937909E+55  1.49047559E+07  0.00000000E+00  2.56140097E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.12662739E+50  0.00000000E+00  0.00000000E+00  9.08958082E-01  5.45703498E+00  5.25088381E-12
   1      15      2.47168983E-04  2.59734987E+00  3.06369610E+00  3.62183376E+00  7.00000000E-01  1.43740000E-10  7.11660185E-01  1.23537843E+55  1.23537843E+55  1.48707702E+07  0.00000000E+00  2.56921909E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.12299068E+50  0.00000000E+00  0.00000000E+00  9.09246445E-01  5.46535683E+00  5.23326355E-12
   1      16      2.48749195E-04  2.58874546E+00  3.05868291E+00  3.62182909E+00  7.00000000E-01  1.43740000E-10  7.11660177E-01  1.23144083E+55  1.23144083E+55  1.48366778E+07  0.00000000E+00  2.57695100E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.11941130E+50  0.00000000E+00  0.00000000E+00  9.09530660E-01  5.47357448E+00  5.21592698E-12
   1      17      2.50323679E-04  2.58027392E+00  3.05373912E+00  3.62182447E+00  7.00000000E-01  1.43740000E-10  7.11660168E-01  1.22756359E+55  1.22756359E+55  1.48025025E+07  0.00000000E+00  2.58460345E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.11588679E+50  0.00000000E+00  0.00000000E+00  9.09810905E-01  5.48169556E+00  5.19885811E-12
   1      18      2.51893271E-04  2.57192906E+00  3.04886108E+00  3.62181991E+00  7.00000000E-01  1.43740000E-10  7.11660159E-01  1.22374361E+55  1.22374361E+55  1.47682071E+07  0.00000000E+00  2.59218015E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.11241433E+50  0.00000000E+00  0.00000000E+00  9.10087388E-01  5.48972440E+00  5.18204450E-12
   1      19      2.53458564E-04  2.56370629E+00  3.04404595E+00  3.62181545E+00  7.00000000E-01  1.43740000E-10  7.11660150E-01  1.21997842E+55  1.21997842E+55  1.47338307E+07  0.00000000E+00  2.59968321E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.10899168E+50  0.00000000E+00  0.00000000E+00  9.10360268E-01  5.49766367E+00  5.16547688E-12
   1      20      2.55020095E-04  2.55559991E+00  3.03929154E+00  3.62181102E+00  7.00000000E-01  1.43740000E-10  7.11660141E-01  1.21626611E+55  1.21626611E+55  1.46993338E+07  0.00000000E+00  2.60711753E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.10561709E+50  0.00000000E+00  0.00000000E+00  9.10629670E-01  5.50551889E+00  5.14914377E-12
