 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1367  1.0500  1.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      1.61101735E-04  6.04435658E+00  4.08749449E+00  3.65093291E+00  1.05000000E+00  1.43740000E-10  7.11660287E-01  3.31143876E+55  3.31143876E+55  1.52366656E+07  0.00000000E+00  1.65004056E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.40814622E+51  0.00000000E+00  0.00000000E+00  5.80528297E-01  4.11055972E+00  1.00669829E-10
   1       2      1.63224715E-04  6.01282215E+00  4.07587339E+00  3.65098323E+00  1.05000000E+00  1.43740000E-10  7.11660261E-01  3.29303614E+55  3.29303614E+55  1.50904212E+07  0.00000000E+00  1.65899146E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.39476346E+51  0.00000000E+00  0.00000000E+00  5.81070083E-01  4.12169382E+00  1.00144617E-10
   1       3      1.64857777E-04  5.98900310E+00  4.06707590E+00  3.65102148E+00  1.05000000E+00  1.43740000E-10  7.11660241E-01  3.27913878E+55  3.27913878E+55  1.50317189E+07  0.00000000E+00  1.66580875E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.38465701E+51  0.00000000E+00  0.00000000E+00  5.81481574E-01  4.13015378E+00  9.97479069E-11
   1       4      1.66113978E-04  5.97093663E+00  4.06039373E+00  3.65105053E+00  1.05000000E+00  1.43740000E-10  7.11660225E-01  3.26860179E+55  3.26860179E+55  1.49865043E+07  0.00000000E+00  1.67101254E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.37699430E+51  0.00000000E+00  0.00000000E+00  5.81794901E-01  4.13659981E+00  9.94470066E-11
   1       5      1.67210599E-04  5.95535478E+00  4.05462227E+00  3.65107569E+00  1.05000000E+00  1.43740000E-10  7.11660211E-01  3.25951399E+55  3.25951399E+55  1.49470190E+07  0.00000000E+00  1.67552349E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.37038546E+51  0.00000000E+00  0.00000000E+00  5.82066068E-01  4.14217948E+00  9.91874881E-11
   1       6      1.68308853E-04  5.93993230E+00  4.04890332E+00  3.65110065E+00  1.05000000E+00  1.43740000E-10  7.11660197E-01  3.25052082E+55  3.25052082E+55  1.49075117E+07  0.00000000E+00  1.68000939E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.36384545E+51  0.00000000E+00  0.00000000E+00  5.82335264E-01  4.14772073E+00  9.89306239E-11
   1       7      1.69410658E-04  5.92464218E+00  4.04322671E+00  3.65112547E+00  1.05000000E+00  1.43740000E-10  7.11660182E-01  3.24160601E+55  3.24160601E+55  1.48679053E+07  0.00000000E+00  1.68447760E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.35736241E+51  0.00000000E+00  0.00000000E+00  5.82602959E-01  4.15323277E+00  9.86759643E-11
   1       8      1.70516324E-04  5.90948037E+00  4.03759084E+00  3.65115015E+00  1.05000000E+00  1.43740000E-10  7.11660167E-01  3.23276677E+55  3.23276677E+55  1.48282278E+07  0.00000000E+00  1.68892887E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.35093434E+51  0.00000000E+00  0.00000000E+00  5.82869219E-01  4.15871666E+00  9.84234416E-11
   1       9      1.71626131E-04  5.89444202E+00  4.03199478E+00  3.65117468E+00  1.05000000E+00  1.43740000E-10  7.11660152E-01  3.22400133E+55  3.22400133E+55  1.47884462E+07  0.00000000E+00  1.69336438E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.34455993E+51  0.00000000E+00  0.00000000E+00  5.83134079E-01  4.16417394E+00  9.81729753E-11
   1      10      1.72740550E-04  5.87952727E+00  4.02643567E+00  3.65119920E+00  1.05000000E+00  1.43740000E-10  7.11660136E-01  3.21530505E+55  3.21530505E+55  1.47485824E+07  0.00000000E+00  1.69778335E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.33823582E+51  0.00000000E+00  0.00000000E+00  5.83397665E-01  4.16960378E+00  9.79245675E-11
   1      11      1.73859542E-04  5.86472356E+00  4.02091553E+00  3.65122340E+00  1.05000000E+00  1.43740000E-10  7.11660120E-01  3.20668073E+55  3.20668073E+55  1.47086654E+07  0.00000000E+00  1.70218986E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.33196403E+51  0.00000000E+00  0.00000000E+00  5.83659873E-01  4.17501127E+00  9.76780091E-11
   1      12      1.74984350E-04  5.85002771E+00  4.01542713E+00  3.65124759E+00  1.05000000E+00  1.43740000E-10  7.11660104E-01  3.19811705E+55  3.19811705E+55  1.46686408E+07  0.00000000E+00  1.70658392E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.32573635E+51  0.00000000E+00  0.00000000E+00  5.83921041E-01  4.18039652E+00  9.74332471E-11
   1      13      1.76114558E-04  5.83544447E+00  4.00997303E+00  3.65127174E+00  1.05000000E+00  1.43740000E-10  7.11660087E-01  3.18961785E+55  3.18961785E+55  1.46285322E+07  0.00000000E+00  1.71096384E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.31955556E+51  0.00000000E+00  0.00000000E+00  5.84181038E-01  4.18575753E+00  9.71903607E-11
   1      14      1.77250687E-04  5.82094665E+00  4.00455178E+00  3.65129543E+00  1.05000000E+00  1.43740000E-10  7.11660070E-01  3.18118031E+55  3.18118031E+55  1.45883580E+07  0.00000000E+00  1.71533840E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.31341960E+51  0.00000000E+00  0.00000000E+00  5.84439926E-01  4.19110515E+00  9.69488969E-11
   1      15      1.78393374E-04  5.80654043E+00  3.99915997E+00  3.65131896E+00  1.05000000E+00  1.43740000E-10  7.11660053E-01  3.17279915E+55  3.17279915E+55  1.45480947E+07  0.00000000E+00  1.71970491E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.30732465E+51  0.00000000E+00  0.00000000E+00  5.84697863E-01  4.19643613E+00  9.67089587E-11
   1      16      1.79542542E-04  5.79222562E+00  3.99379997E+00  3.65134220E+00  1.05000000E+00  1.43740000E-10  7.11660035E-01  3.16447783E+55  3.16447783E+55  1.45077809E+07  0.00000000E+00  1.72406339E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.30127322E+51  0.00000000E+00  0.00000000E+00  5.84954729E-01  4.20175057E+00  9.64705430E-11
   1      17      1.80699418E-04  5.77799850E+00  3.98846535E+00  3.65136543E+00  1.05000000E+00  1.43740000E-10  7.11660016E-01  3.15620635E+55  3.15620635E+55  1.44673734E+07  0.00000000E+00  1.72841422E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.29525803E+51  0.00000000E+00  0.00000000E+00  5.85210825E-01  4.20704897E+00  9.62335879E-11
   1      18      1.81863707E-04  5.76386323E+00  3.98315830E+00  3.65138862E+00  1.05000000E+00  1.43740000E-10  7.11659998E-01  3.14798793E+55  3.14798793E+55  1.44268800E+07  0.00000000E+00  1.73275603E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.28928142E+51  0.00000000E+00  0.00000000E+00  5.85466040E-01  4.21232976E+00  9.59981625E-11
   1      19      1.83035933E-04  5.74981302E+00  3.97787742E+00  3.65141172E+00  1.05000000E+00  1.43740000E-10  7.11659978E-01  3.13982019E+55  3.13982019E+55  1.43863158E+07  0.00000000E+00  1.73709068E+04  1.05000000E+00  1.00000000E+00  0.00000000E+00  0.00000000E+00  7.27220522E-05  2.28334168E+51  0.00000000E+00  0.00000000E+00  5.85720439E-01  4.21759523E+00  9.57641537E-11
